channel_name,playlist_count,video_count,subscriber_count,view_count,like_count,comment_count,join_date,country,link
DeepLearningAI,17,364,271000,16853716,193994.0,6398.0,2017-08-22T22:27:58Z,Not available,https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w
3Blue1Brown,20,177,5750000,458811087,12643439.0,448521.0,2015-03-03T23:11:55Z,United States,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw
Joma Tech,10,108,2270000,187590804,6679177.0,218210.0,2016-08-31T22:22:07Z,United States,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw
DataCamp,25,851,155000,17927443,55430.0,1913.0,2014-03-25T14:48:01Z,United States,https://www.youtube.com/channel/UC79Gv3mYp6zKiSwYemEik9A
CS Dojo,9,105,1920000,80114014,1997796.0,87334.0,2016-02-26T01:49:30Z,Canada,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A
sentdex,95,1221,1280000,120676584,1362276.0,135903.0,2012-12-16T20:49:11Z,United States,https://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ
StatQuest with Josh Starmer,15,192,1060000,56417057,1235579.0,82326.0,2011-05-24T01:52:48Z,United States,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw
Tech With Tim,72,784,1400000,119884321,3153040.0,125261.0,2014-04-23T01:57:10Z,Canada,https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg
365 Data Science,18,224,304000,13603729,271195.0,7785.0,2017-08-07T15:17:05Z,Bulgaria,https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg
Data Professor,30,385,172000,17006302,529963.0,26732.0,2019-08-17T15:59:56Z,Thailand,https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q
Data Science Dojo,37,310,102000,56362401,1257884.0,37056.0,2014-08-06T21:12:46Z,United States,https://www.youtube.com/channel/UCzL_0nIe8B4-7ShhVPfJkgw
codebasics,48,642,912000,65421633,1477752.0,73747.0,2015-11-07T17:29:46Z,United States,https://www.youtube.com/channel/UCh9nVJoWXmFb7sLApWGcLPQ
Two Minute Papers,11,836,1510000,133518421,5474425.0,270422.0,2006-08-18T00:05:41Z,Hungary,https://www.youtube.com/channel/UCbfYPyITQ-7l4upoX8nvctg
TheAiGrid,0,175,137000,19439690,268312.0,36818.0,2023-01-18T05:19:13.914691Z,United Kingdom,https://www.youtube.com/channel/UCbY9xX3_jW5c2fjlZVBI4cg
AI News,22,400,69800,7040491,108321.0,10270.0,2022-02-28T03:10:31.061038Z,United States,https://www.youtube.com/channel/UCDZfn935vwaahDabsfylfIQ
Abhishek Thakur,13,172,108000,2929897,71003.0,7041.0,2009-05-24T11:41:32Z,Norway,https://www.youtube.com/channel/UCBPRJjIWfyNG4X-CRbnv78A
IBM Technology,39,651,614000,30624198,725443.0,18413.0,2008-05-27T21:31:11Z,United States,https://www.youtube.com/channel/UCKWaEZ-_VweaEx1j62do_vQ
PRO ROBOTS,9,148,331000,14250159,246519.0,12430.0,2020-04-04T20:49:24.716956Z,United States,https://www.youtube.com/channel/UCu8luTDe_Xxd2ahAXsCWX5g
StrataScratch,22,218,233000,18738946,232630.0,22796.0,2014-04-30T18:49:17Z,United States,https://www.youtube.com/channel/UCnVzApLJE2ljPZSeQylSEyg
