playlist_id,video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,playlist_title,channel_id,channelTitle,playlist_published,playlist_numvideo
PLZHQObOWTQDMKqfyUvG2kTlYt-QQ2x-ui,QCX62YJCmGk,The sugar water barber pole effect | Optics puzzles 1,2023-09-01T13:13:14Z,925313,38579,1090,PT9M57S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Optics puzzles,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-12-04T00:08:58Z,4.0
PLZHQObOWTQDMKqfyUvG2kTlYt-QQ2x-ui,aXRTczANuIs,Explaining the barber pole effect from origins of light | Optics puzzles 2,2023-09-01T13:39:37Z,606233,27864,1519,PT21M33S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Optics puzzles,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-12-04T00:08:58Z,4.0
PLZHQObOWTQDMKqfyUvG2kTlYt-QQ2x-ui,KTzGBJPuJwM,Explaining prisms fully requires understanding springs | Optics puzzles 3,2023-11-30T18:42:33Z,718827,29582,1300,PT29M24S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Optics puzzles,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-12-04T00:08:58Z,4.0
PLZHQObOWTQDMKqfyUvG2kTlYt-QQ2x-ui,Cz4Q4QOuoo8,"How light can appear faster than c, why it bends, and other questions | Optics puzzles 4",2023-12-03T11:35:57Z,416703,16969,892,PT13M25S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Optics puzzles,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-12-04T00:08:58Z,4.0
PLZHQObOWTQDOMxJDswBaLu8xBMKxSTvg8,zeJD6dqJ5lo,But what is the Central Limit Theorem?,2023-03-14T18:36:36Z,2903746,55882,1975,PT31M15S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Central limit theorem,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-07-11T20:34:08Z,4.0
PLZHQObOWTQDOMxJDswBaLu8xBMKxSTvg8,cy8r7WSuT1I,Why π is in the normal distribution (beyond integral tricks),2023-04-02T15:30:13Z,1306998,43779,1552,PT24M46S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Central limit theorem,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-07-11T20:34:08Z,4.0
PLZHQObOWTQDOMxJDswBaLu8xBMKxSTvg8,IaSGqQa5O-M,Convolutions | Why X+Y in probability is a beautiful mess,2023-06-27T15:08:14Z,524043,20117,736,PT27M25S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Central limit theorem,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-07-11T20:34:08Z,4.0
PLZHQObOWTQDOMxJDswBaLu8xBMKxSTvg8,d_qvLDhkg00,A pretty reason why Gaussian + Gaussian = Gaussian,2023-07-11T15:53:09Z,633869,19124,525,PT13M16S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,Central limit theorem,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2023-07-11T20:34:08Z,4.0
PLZHQObOWTQDMp_VZelDYjka8tnXNpXhzJ,8rrHTtUzyZA,Convolutions in image processing | Week 1 | MIT 18.S191 Fall 2020 | Grant Sanderson,2020-09-03T19:14:11Z,613643,16076,463,PT36M10S,hd,"['julialang', 'julia', 'programming language', 'image processing', 'machine learning', 'ai', 'artificial intelligence', 'data science', 'convolutions', 'images.jl', '3blue1brown', 'anyone can code']",en,False,Selected lectures on computational thinking for MIT 18.S191,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2021-07-18T15:13:31Z,4.0
PLZHQObOWTQDMp_VZelDYjka8tnXNpXhzJ,rpB6zQNsbQU,Seam Carving | Week 2 | 18.S191 MIT Fall 2020 | Grant Sanderson,2020-09-08T18:24:54Z,98684,3305,150,PT27M51S,hd,"['julia machine learning', 'julialang', 'julia', 'learn to code', 'julia programming language', 'juliacon 2020', 'JuliaLang', 'julia tutorial', 'Programming', 'gilbert strang', 'julia language', 'computational thinking', 'julia lang', 'julia programming', 'programming', 'coding', 'Machine Learning', 'Language', 'tutorials', 'dynamic programming', 'grant sanderson', 'Julia', 'seam carving', 'Julia Language', 'julia vscode']",en,False,Selected lectures on computational thinking for MIT 18.S191,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,2021-07-18T15:13:31Z,4.0
