Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgxHuBwsWmKiBbD5AxV4AaABAg,@fghdt-wx2gf,,1.0,eYgI2bCTWqM,0.0,0.0,2023-12-05T21:27:19Z,これほどワクワクする進化は素晴らしいと思います。<br>今後ai がどれだけ発展するかみんなで見守りましょう,2023-12-05T21:27:19Z
UgyXix5hM7mfI4042YV4AaABAg,@BR-hi6yt,,1.0,eYgI2bCTWqM,1.0,1.0,2023-12-05T09:36:24Z,"This is a good video about Q* - one of the few good ones. <br>Well, done team.",2023-12-05T09:36:24Z
UgyXix5hM7mfI4042YV4AaABAg.9xwMqwVfcUD9xwtJti1fep,@AINewsOfficial,UgyXix5hM7mfI4042YV4AaABAg,2.0,eYgI2bCTWqM,0.0,0.0,2023-12-05T14:28:50Z,thanks for watching!,2023-12-05T14:28:50Z
UgwjalkZI6Hi_saQwYd4AaABAg,@bobcat3653,,1.0,eYgI2bCTWqM,0.0,0.0,2023-12-04T01:59:09Z,is this where Qanon  can from ??,2023-12-04T01:59:09Z
Ugy9v-tf5oVoJ3G8IkJ4AaABAg,@bobcat3653,,1.0,eYgI2bCTWqM,0.0,0.0,2023-12-04T01:57:58Z,this ain&#39;t ReX Bear&#39;s Leak Project research😮🤬,2023-12-04T01:57:58Z
UgxW0bGOPVOXkGNjRFB4AaABAg,@dot1298,,1.0,eYgI2bCTWqM,0.0,2.0,2023-12-02T20:48:02Z,so which will be better: Gemini or GPT-5 or Q* or another one?,2023-12-02T20:48:02Z
UgwY7FpeAfwUgYVHDIN4AaABAg,@henryalejandrosilva2003,,1.0,eYgI2bCTWqM,1.0,1.0,2023-12-02T14:55:35Z,Where can I find this video &#39;s sources,2023-12-02T14:55:35Z
UgwY7FpeAfwUgYVHDIN4AaABAg.9xpD-25wXd49xsEoDYiQ_b,@RelentlessCuriousity,UgwY7FpeAfwUgYVHDIN4AaABAg,2.0,eYgI2bCTWqM,0.0,0.0,2023-12-03T19:09:09Z,It&#39;s pure speculation based on rumoured potential.,2023-12-03T19:09:09Z
UgyzMvC58QHEjTkvwUh4AaABAg,@1HorseOpenSlay,,1.0,eYgI2bCTWqM,9.0,1.0,2023-12-02T09:20:47Z,How is AI rewarded?,2023-12-02T09:20:47Z
UgyzMvC58QHEjTkvwUh4AaABAg.9xobfz2QjGm9xowRmn5Rd7,@Anonymous-3311,UgyzMvC58QHEjTkvwUh4AaABAg,2.0,eYgI2bCTWqM,0.0,1.0,2023-12-02T12:22:12Z,Good question. But I don&#39;t think they get rewarded.,2023-12-02T12:22:12Z
UgyzMvC58QHEjTkvwUh4AaABAg.9xobfz2QjGm9xpLmPW8mq_,@nutbastard,UgyzMvC58QHEjTkvwUh4AaABAg,2.0,eYgI2bCTWqM,0.0,0.0,2023-12-02T16:12:21Z,"It’s like a video game score, a point based system. The AI is hard coded to view positive points as desirable and negative points as undesirable. That’s the basic gist of it. More accurately it uses these scores to determine which strategies should be kept and improved upon based on a desired outcome, and which strategies should be discarded. It’s more complicated than that in practice, with some failed strategies being given a limited lifespan to improve.",2023-12-02T16:12:21Z
UgyzMvC58QHEjTkvwUh4AaABAg.9xobfz2QjGm9xpTtaGZMl4,@shadygamererfan377,UgyzMvC58QHEjTkvwUh4AaABAg,2.0,eYgI2bCTWqM,0.0,1.0,2023-12-02T17:23:14Z,They are rewarded simply winning games,2023-12-02T17:23:14Z
