Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
Ugz0H2DoGRQEo-Ji2A14AaABAg,@tejeshwvardhan1165,,1,uCBtA-RjVu0,0,1,2023-11-22T17:57:35Z,Data science is a old algorithm in new package !,2023-11-22T17:57:35Z
UgwMseGfErtRSMEZU8h4AaABAg,@KolTregaskes,,1,RfMlJ8Xh36Q,1,0,2023-11-06T12:56:39Z,"Interesting presentation, where is the documentation please?",2023-11-06T12:56:39Z
UgwMseGfErtRSMEZU8h4AaABAg.9wm2iFAnZF79wm2sxRz8Uk,@KolTregaskes,UgwMseGfErtRSMEZU8h4AaABAg,2,RfMlJ8Xh36Q,0,0,2023-11-06T12:58:06Z,"Ignore me, I see the link in the live chat.",2023-11-06T12:58:06Z
UgwGrLKJ1q04HFoxY3t4AaABAg,@gkennedy_aiforsocialbenefit,,1,RfMlJ8Xh36Q,1,1,2023-11-05T14:18:01Z,Awesome presentation.  Thanks Isabella! Can we have links to the docs?  Thanks again,2023-11-05T14:18:01Z
UgwGrLKJ1q04HFoxY3t4AaABAg.9wjcEI7lAAS9wm2v81yC4_,@KolTregaskes,UgwGrLKJ1q04HFoxY3t4AaABAg,2,RfMlJ8Xh36Q,0,0,2023-11-06T12:58:24Z,See the links in the live chat.,2023-11-06T12:58:24Z
UgxpGMPT2nd9_EfyWoZ4AaABAg,@asadaddy1,,1,RfMlJ8Xh36Q,1,0,2023-11-02T16:02:09Z,Where can I find the AI Branding Workflow document?,2023-11-02T16:02:09Z
UgxpGMPT2nd9_EfyWoZ4AaABAg.9wc4lNlzqgx9wm2wAnFMRU,@KolTregaskes,UgxpGMPT2nd9_EfyWoZ4AaABAg,2,RfMlJ8Xh36Q,0,0,2023-11-06T12:58:33Z,See the links in the live chat.,2023-11-06T12:58:33Z
Ugyf7R0ULOAawuhrOXV4AaABAg,@AIforAll-DOMANA,,1,RfMlJ8Xh36Q,0,0,2023-11-02T14:17:11Z,Thank you for the great sharing,2023-11-02T14:17:11Z
Ugy4c2I6-kDcEweky4B4AaABAg,@laugedyret,,1,RfMlJ8Xh36Q,1,2,2023-11-01T16:32:12Z,Can we have the links to the Google docs? Thanks!,2023-11-01T16:32:12Z
Ugy4c2I6-kDcEweky4B4AaABAg.9w_ZPfFvA8P9wm2vcC8N_C,@KolTregaskes,Ugy4c2I6-kDcEweky4B4AaABAg,2,RfMlJ8Xh36Q,0,1,2023-11-06T12:58:28Z,See the links in the live chat.,2023-11-06T12:58:28Z
UgwJgUTEo_ZCOx5FRt54AaABAg,@williamkilque978,,1,jAT2vtmWnq0,0,0,2023-10-21T16:27:17Z,"First like, first comment. Goog presentation Rehgan",2023-10-21T16:30:38Z
UgwAGYfWZgBZnrBZKEh4AaABAg,@JR-gy1lh,,1,eQBxZxrdCTE,0,0,2023-10-05T17:36:08Z,Isaac has put together a great way to hire.,2023-10-05T17:36:08Z
UgzU9-wy3i5b-QOIEuV4AaABAg,@JoseRubenL.Q,,1,iONOdQNuJYk,0,0,2023-12-03T22:05:29Z,"<a href=""https://www.youtube.com/watch?v=iONOdQNuJYk&amp;t=0m11s"">0:11</a> Estava procurando uma forma de alavancar minhas redes sociais e encontrei o AVANCO SOCIAL. Agora, minhas contas estão bombando!",2023-12-03T22:05:29Z
UgzFZMFcfTZTFIJksrZ4AaABAg,@rafaelnabor,,1,iONOdQNuJYk,0,0,2023-12-03T22:02:27Z,"<a href=""https://www.youtube.com/watch?v=iONOdQNuJYk&amp;t=1m20s"">1:20</a> O AVANCO SOCIAL é uma ótima opção para quem quer crescer nas redes sociais de forma orgânica e consistente.",2023-12-03T22:02:27Z
Ugz92tbqBiIb7mJVpe54AaABAg,@SaidZavala-xs2lc,,1,iONOdQNuJYk,0,0,2023-12-03T21:59:42Z,"<a href=""https://www.youtube.com/watch?v=iONOdQNuJYk&amp;t=3m45s"">3:45</a> Se você está em busca de mais seguidores e curtidas, o AVANCO SOCIAL pode te ajudar. Experimente!",2023-12-03T21:59:42Z
UgwekFbiclHgxhYt2oJ4AaABAg,@oscararielaguiar4712,,1,iONOdQNuJYk,0,0,2023-12-03T21:58:59Z,"<a href=""https://www.youtube.com/watch?v=iONOdQNuJYk&amp;t=1m13s"">1:13</a> O AVANCO SOCIAL me ajudou a aumentar o engajamento nas minhas redes sociais de uma forma incrível. Super recomendo!",2023-12-03T21:58:59Z
UgwSFHfWB7nlx1KqtX94AaABAg,@tarunrao23,,1,3kpWWlEP9m0,0,0,2023-09-12T02:32:12Z,His thinking has been same for last 10 years,2023-09-12T02:32:12Z
Ugwql-cHKwvXWH8K7kd4AaABAg,@vsevolodnedora7779,,1,Eusrf2yNffY,0,1,2023-08-29T18:20:47Z,"Very interesting, thank you! I am, however, somewhat unsure, of how deep/sophisticated these projects should be. I think the main difficulty is gathering enough industry knowledge to build a motivated, self-consistent, and self-contained project. For example, I am interested in the energy sector and I have a project in mind, where I would try to predict how the energy grid could be optimized. However, without specific data and input from the professionals in the industry, the project would hardly yield something useful. I wonder how people approach this.",2023-08-29T18:20:47Z
UgzPAtmJ1KwNhvLIWOh4AaABAg,@user-od3rl5mc,,1,XGvt355PgL0,0,0,2023-08-24T19:19:21Z,Could you turn on captions?,2023-08-24T19:19:21Z
UgwRrBpcvrA5PwpsG5l4AaABAg,@SilviaVeronicaNoriega,,1,6AjJhD2MPNc,0,0,2023-08-11T21:10:21Z,"Hello, thanks for the walk-through. There&#39;s something that I didn&#39;t catch... How can I get access to the link once the workspace is copied?",2023-08-11T21:10:21Z
