playlist_id,video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,playlist_title,channel_id,channelTitle,playlist_published,playlist_numvideo
PLjgj6kdf_snbrEI-BgJh36tNcemL2kdbS,DpFaWTZAfuc,1. Introduction to Large Language Models with GPT & LangChain - AI Code Along,2023-11-30T09:36:26Z,618,17,0,PT48M8S,hd,"['ai', 'code along', 'gpt', 'langchain', 'openai', 'pinecone', 'huggingface']",en,False,NEW: Become an AI Developer Code Along Series,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-30T09:36:08Z,9
PLjgj6kdf_snbrEI-BgJh36tNcemL2kdbS,luRtEpFuwXA,2. Prompt Engineering with GPT & LangChain - AI Code Along,2023-11-30T09:37:17Z,192,5,0,PT1H36M45S,hd,"['ai', 'code along', 'gpt', 'langchain', 'openai', 'pinecone', 'huggingface']",en,False,NEW: Become an AI Developer Code Along Series,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-30T09:36:08Z,9
PLjgj6kdf_snbrEI-BgJh36tNcemL2kdbS,8_j3-Sx7nwk,3. Building Multimodal AI Applications with LangChain & the OpenAI API - AI Code Along,2023-11-30T09:38:15Z,41,1,0,PT28M40S,hd,"['ai', 'code along', 'gpt', 'langchain', 'openai', 'pinecone', 'huggingface']",en,False,NEW: Become an AI Developer Code Along Series,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-30T09:36:08Z,9
PLjgj6kdf_snbrEI-BgJh36tNcemL2kdbS,7d9ZTlhkL1o,4. Semantic Search with Pinecone - AI Code Along,2023-11-30T09:39:20Z,8,0,0,PT51M12S,hd,"['ai', 'code along', 'gpt', 'langchain', 'openai', 'pinecone', 'huggingface']",en,False,NEW: Become an AI Developer Code Along Series,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-30T09:36:08Z,9
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,uCBtA-RjVu0,Using AI in Robotics,2023-11-23T05:11:04Z,466,29,1,PT1H9M4S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,SmSoTa5eRZA,Revolutionizing Decision Making using AI,2023-11-17T05:14:06Z,484,23,0,PT1H8M22S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,SxJqyatlmTs,"GPT-4 Turbo, Custom GPTs & the Assistants API",2023-11-16T05:06:43Z,1232,42,0,PT1H2M16S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,lZnSq61e0wk,A High-Level Approach for Solving MLOps Challenges,2023-11-10T05:08:22Z,365,16,0,PT1H7M,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,RfMlJ8Xh36Q,Advanced ChatGPT Prompt Engineering,2023-11-02T04:22:21Z,1130,52,9,PT1H6M25S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,KEEGJGhj-FY,Driving Learning Engagement with Community and AI,2023-10-27T04:00:40Z,221,18,0,PT1H2M20S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,dqJApFjoMUI,AI for Visual Data: Computer Vision in Business,2023-10-26T04:11:24Z,402,15,0,PT1H10M18S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,jAT2vtmWnq0,Building a Capability Roadmap for AI,2023-10-20T04:02:28Z,625,25,1,PT1H3M28S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,oVazRL-bU7M,Best Practices for Developing Generative AI Products,2023-10-19T04:05:06Z,440,17,0,PT1H5M1S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,eQBxZxrdCTE,Best Practices for Hiring Data Scientists,2023-10-06T04:09:53Z,693,31,1,PT1H7M6S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,iONOdQNuJYk,What ChatGPT Enterprise Means for Your Organization,2023-09-14T04:42:57Z,883,14,4,PT53M23S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
PLjgj6kdf_snbEmJ9n-9ch0iUPb8ehkPNm,caEHv4dFn9g,Effective Data Storytelling for Financial Services,2023-09-13T05:20:28Z,832,27,0,PT1H13M56S,hd,,en,False,Live Webinars,UC79Gv3mYp6zKiSwYemEik9A,DataCamp,2023-11-23T11:11:08Z,28
