Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
Ugw5fySq5NxfwgCuFhB4AaABAg,@AiexpertRajivVerma,,1,H_8ZVRRtiIA,0,0,2023-12-11T01:11:19Z,Sir thank you love love 💕❤️❤❤️❤❤❤❤❤❤ you for free these courses as I belong from India but don&#39;t have money to buy these Coursera course but it is really helpful for poor people in India or around the world who are interested in ai but can afford but yeah Andrew sir really appreciate your works ❤❤❤❤❤❤❤❤❤❤❤,2023-12-11T01:11:19Z
Ugw_73FC0tI1B6PW9nh4AaABAg,@hamasali8764,,1,bZwkaVnhEo4,0,0,2023-07-27T16:54:52Z,Best One🎉,2023-07-27T16:54:52Z
Ugx1qnyHmXF9-BjhIWR4AaABAg,@R0H00,,1,hkOosfWxBK4,0,1,2023-11-18T02:51:01Z,"Hi, I&#39;m a clinician who is working in the digital health/ informatics space. Can you please let me know, what role I can play the AI space (which I&#39;m interested to dig) apart from hardcore Data Science?",2023-11-18T02:51:01Z
UgyNZvEu-Ht9ZlLwOXp4AaABAg,@nitinsnoisepollution6293,,1,hkOosfWxBK4,0,0,2023-11-17T20:39:13Z,Superb 🎉❤,2023-11-17T20:39:13Z
UgzAxiiLaxyBHEcRw0R4AaABAg,@REDBONDYT,,1,Fxq6vjJwX3o,0,1,2023-07-30T12:36:13Z,Very informative 😃😺,2023-07-30T12:36:13Z
UgxyNjLNOVNw0c-EGXF4AaABAg,@erikgarcia6141,,1,Ee8EOWWGJ7U,0,0,2023-07-31T06:54:32Z,"How cool the lab, i&#39;m from Bogota",2023-07-31T06:54:32Z
UgyIcXszWKIz5H-kE8F4AaABAg,@zouhirelmezraoui1336,,1,AmlhNK9_I4o,0,1,2023-11-15T22:21:49Z,💖👆💖🎓🎓🎓👉👆👈,2023-11-15T22:21:49Z
Ugy7H_HsdoSC3akc9cV4AaABAg,@Raw-L,,1,Z8GILwqeSXE,0,1,2023-09-22T08:28:57Z,Is there an AI for evil Course? I am asking of course for a friend😅!🈲,2023-09-22T08:28:57Z
UgwZvlRNNYXFmK7z8yd4AaABAg,@taptyaagtandav,,1,Z8GILwqeSXE,0,2,2023-09-09T14:23:09Z,Love you Sir ❤❤❤❤,2023-09-09T14:23:09Z
UgyZPR-7aaoR5nrcgDJ4AaABAg,@musicanbeat,,1,Z8GILwqeSXE,0,2,2023-09-08T10:14:56Z,Thank you so much sir for such a great contribution you are doing for all youths and all people interested in learning these things🙏✨,2023-09-08T10:14:56Z
Ugyvu2cI0GMd7ey7mGh4AaABAg,@muhammadasif9963,,1,Z8GILwqeSXE,0,3,2023-09-08T05:47:05Z,"Thank you so much Andrew Ng, for doing a great job for Community, providing a great platform for Deep learning, Large Language Models, and Generative AI, the field where all are learners.😇",2023-09-08T05:47:05Z
Ugw_P10vaPKls4YrPH54AaABAg,@davidmerwin0077,,1,Z8GILwqeSXE,0,1,2023-09-07T16:54:12Z,❤,2023-09-07T16:54:12Z
