playlist_id,video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
,Bs12qKZ_6_8,5 MINUTES AGO : OpenAI's LEAKED Details Just Shocked Everyone (Everything Revealed),2023-11-21T06:42:44Z,156862,3485,545,PT15M37S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,6Tnb-D2Ktok,OpenAi's New Q* (Qstar) Breakthrough Explained For Beginners (GPT- 5),2023-11-24T13:00:04Z,222550,2562,322,PT15M40S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,F95s2bLMNIY,Get Ready for 15 SHOCKING Changes After the Singularity (AGI IS NEAR!),2023-04-09T22:20:39Z,144240,2431,414,PT17M30S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,R3X6rk1bWF0,How To Create CUSTOM GPTs Easily (Full Tutorial) (For Beginners) Build and sell AI agents,2023-11-07T20:30:03Z,150826,3531,208,PT18M43S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,-a6E-r8W2Bs,Googles GEMINI Just SHOCKED The ENTIRE INDUSTRY! (GPT-4 Beaten) Full Breakdown + Technical Report,2023-12-06T18:15:01Z,2855744,27262,1817,PT30M43S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,S3fhqevTByk,Disneys New 'AI Robots' Are Way Too Advanced.,2023-10-19T15:15:02Z,325595,2709,335,PT9M57S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,Lft0J8sgwS4,How to Use NEW Google Gemini Bard (Full Google Gemini AI Tutorial),2023-12-04T16:11:45Z,146998,1586,76,PT14M45S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,suNBENzW3Gg,Life After AGI (Universal Basic Income),2023-07-25T16:00:46Z,12370,348,129,PT11M21S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,Dv4yBH5dwtY,GPT 5 Is Now In Training (Open AI GPT-5 Announcement),2023-11-14T22:00:07Z,52959,1001,164,PT21M44S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,2kWH3Ieqzm0,We Should ALL Be Worred About Boston Dynamics,2023-03-02T14:15:00Z,291902,3520,520,PT17M27S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,aoWIR8MS_EM,12 New CREATIVE Custom GPTS (Copy These) Custom GPT Ideas,2023-11-11T21:25:13Z,41918,1090,87,PT16M39S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,HwUt9ZRziBE,10 Secret Bard Tips And Tricks (How To Use Google Bard)(Google Bard Tutorial),2023-03-29T16:15:01Z,31225,455,28,PT15M53S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,JVKG6K5203I,Googles ALPHACODE-2 Just SHOCKED The ENTIRE INDUSTRY! Full Breakdown + Technical Report,2023-12-07T16:06:08Z,25252,428,60,PT14M39S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,gFp18nW7p34,Top 10 NEW Humanoid Robots 2023/2024,2023-10-23T16:15:02Z,38854,528,86,PT21M1S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,dLfJuhGTmpE,The Secret To AGI - Synthetic Data,2023-12-10T16:00:20Z,21853,526,63,PT23M31S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,-lVte7lUT5M,Elon Musk’s Disturbing Prediction About AI,2023-10-17T15:15:00Z,104830,1257,409,PT20M21S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,xHtLD-69Z28,How to Use New Claude 2.1 (Full Claude AI Tutorial),2023-11-29T01:32:57Z,38348,502,23,PT21M2S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,FRikw-dAvDQ,"New AI Agents, Quantum Computing, Upgrades, AI Upscale, Text To Video (Major AI NEWS#20)",2023-12-08T18:02:50Z,27981,651,66,PT33M45S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,PxrYD9x3V4E,"Major AI News #23 - Google Gemini -2 , Major ChatGPT Breaches, Google Text To Image And More",2023-12-18T06:25:32Z,43351,863,118,PT29M35S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,NQ7BZdI4RnQ,OpenAI Just Dropped A BOMBSHELL(SAM ALTMAN FIRED),2023-11-17T22:22:48Z,68028,1243,365,PT10M5S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,eBE4GNsyDng,Google Gemini LEAKED + Rumours and Predictions - It's about to get real silly,2023-11-03T16:15:02Z,12130,310,30,PT14M14S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,89nOj7igU-c,Open AI's New 'MAJOR BREAKTHROUGHS Stuns The ENTIRE AI Industry! (GPTS +GPT-4  Turbo),2023-11-06T21:30:00Z,21868,609,76,PT31M27S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,wkNAxp3dXFY,Google's  NEW GEMINI Takes the Industry By STORM! (NOW ANNOUNCED!),2023-05-14T15:15:03Z,98736,1362,297,PT10M49S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
,iEp3CzKtsyg,"Major AI NEWS#19 (GPT-6 News, Amazons New Q Model, Realtime AI Conversations and More)",2023-11-29T17:15:02Z,38036,1006,113,PT23M1S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
