playlist_id,playlist_title,channel_id,channelTitle,playlist_published,playlist_numvideo
PLeo1K3hjS3uufBJODNXMY2VuDpFWrDJ3L,Non-Tech to Data Analyst Transition Stories,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-11-17T19:37:00Z,6
PLeo1K3hjS3uuyHkzjBfd3nwD7SJ5C11aB,OpenAI Tutorial,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-07-04T13:35:41Z,2
PLeo1K3hjS3uu0N_0W6giDXzZIcB07Ng_F,LangChain Tutorials Playlist | LLM Tutorial Playlist,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-06-30T10:09:59Z,5
PLeo1K3hjS3usVP5huQxQHcfXgcRT2pBBP,Simple Explanations of Complex Topics,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-06-07T19:24:18Z,12
PLeo1K3hjS3uv_e0HUEu1CVCOikPay64p8,Hospitality Analysis Project : End to End,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-06-06T14:44:45Z,1
PLeo1K3hjS3usb3av_7Eok21V20XlpJc_X,Cricket Data Analytics Project | T20 Cricket Data Analytics,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-06-06T14:41:38Z,1
PLeo1K3hjS3uszG7FiD6_VaCDuozDt012k,Real Life Data Analytics,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-05-09T06:09:35Z,2
PLeo1K3hjS3us-qDvDu9UEQjiX6ZfZ5017,Data Analyst Transition Stories,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2023-04-19T06:58:32Z,5
PLeo1K3hjS3uuVQccZa7yFwK3ltoGQOWbM,Data Analyst Project For Beginners | HR Analytics,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-09-05T09:22:48Z,6
PLeo1K3hjS3uvIQhj31LaeVvXy7vbfJ6jl,Codebasics Day 2022,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-09-04T13:39:35Z,4
PLeo1K3hjS3uulqalNX4TTCNCHQjEa2PZf,Resume Tips,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-06-30T13:30:00Z,2
PLeo1K3hjS3uuGptn0aRHSJTJMbax1g4zb,Data Analytics Tips,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-06-15T12:13:37Z,6
PLeo1K3hjS3uuTemDtpUHJuwNw5XN3llKb,Codebasics Shorts,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-02-05T13:53:26Z,9
PLeo1K3hjS3uuvuAXhYjV2lMEShq2UYSwX,NLP Tutorial Python,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2022-01-21T13:42:55Z,27
PLeo1K3hjS3ut49PskOfLnE6WUoOp_2lsD,Potato Disease Classification: Deep learning project end to end,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-08-21T19:46:56Z,8
PLeo1K3hjS3utJFNGyBpIvjWgSDY0eOE8S,Deep Learning Projects End To End,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-08-21T19:34:16Z,8
PLeo1K3hjS3utaoMP81bP4j21vWzBYyDXP,Data science transition stories and guidance,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-07-02T18:55:11Z,5
PLeo1K3hjS3utA2y0vk63aTVw0wvL9QL41,Entrepreneur Conversations,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-05-28T11:01:05Z,1
PLeo1K3hjS3uuKaU2nBDwr6zrSOTzNCs0l,"Mathematics, statistics for data science and machine learning",UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-04-16T22:07:15Z,11
PLeo1K3hjS3utQi68NPvRgdl-6y9fJmUfh,Cryptocurrencies,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-03-19T11:43:08Z,4
PLeo1K3hjS3us2Ko99XX9V5phkf5_2CJpQ,Career Transition Stories,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-02-28T13:11:52Z,20
PLeo1K3hjS3ushgnP8Eif4jN8XRP-Avur5,"Masters in data science, data analytics abroad | Tips and Guidance",UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-02-13T23:29:24Z,2
PLeo1K3hjS3uuvV8o4jZlHymFIE8CoZgDS,Cool Python Apps,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2021-01-26T14:39:09Z,4
PLeo1K3hjS3usDI9XeUgjNZs6VnE0meBrL,Tableau Project For Beginners | Sales Insights Playlist,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2020-12-14T17:42:59Z,6
PLeo1K3hjS3uvxzKyaUqdkYgUKU0Nnffso,Roadmaps & Career Guidance,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2020-11-26T19:07:48Z,40
PLeo1K3hjS3uu1hh_qzBt6e379cofVD9Sb,Python Project: Grocery Store Application,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,2020-11-15T19:55:15Z,6
